CNPJ_GESTOR,n_fundos,pl_total,nome_em_registro,CNPJ_LIMPO,DENOM_SOCIAL,DENOM_COMERC,MUN,UF,CONTROLE_ACIONARIO,DT_REG,SITE_ADMIN,nome,faixa_porte,share_pct
29036872000191,70,48693020735.68,SUESTE CAPITAL GESTÃO DE RECURSOS LTDA,29036872000191,SUESTE CAPITAL GESTÃO DE RECURSOS LTDA,SUESTE CAPITAL,SÃO PAULO,SP,PRIVADO,2018-07-16,www.suestecapital.com,SUESTE CAPITAL,F2 · 10 a 100 bi,0.3670264938629061
30306294000145,14,46891171198.27,BANCO BTG PACTUAL S/A,,,,,,,,,BANCO BTG PACTUAL S/A,F2 · 10 a 100 bi,0.3534449475100116
23863529000134,64,43552056111.17,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA.,23863529000134,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA.,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA.,SÃO PAULO,SP,PRIVADO,2016-08-15,temporariamente sem web site,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA.,F2 · 10 a 100 bi,0.3282761720981172
02332886000104,19,43395995294.06,XP INVESTIMENTOS CCTVM S.A.,02332886000104,XP INVESTIMENTOS CCTVM S.A.,XP INVESTIMENTOS,RIO DE JANEIRO,RJ,PRIVADO,2009-06-26,www.xpi.com.br,XP INVESTIMENTOS,F2 · 10 a 100 bi,0.327099854554702
07625159000140,113,42330582868.55,BTG PACTUAL GESTORA DE INVESTIMENTOS ALTERNATIVOS LTDA.,07625159000140,BTG PACTUAL GESTORA DE INVESTIMENTOS ALTERNATIVOS LTDA.,UBS PACTUAL GESTORA DE INVESTIMENTOS ALTERNATIVOS LTDA,RIO DE JANEIRO,RJ,PRIVADO,2006-03-31,www.btgpactual.com,UBS PACTUAL GESTORA DE INVESTIMENTOS ALTERNATIVOS LTDA,F2 · 10 a 100 bi,0.3190692460374042
00360305000104,16,41703701005.08,CAIXA ECONOMICA FEDERAL,00360305000104,CAIXA ECONOMICA FEDERAL,CAIXA ECONOMICA FEDERAL,BRASÍLIA,DF,PRIVADO,1995-01-04,www.caixa.gov.br,CAIXA ECONOMICA FEDERAL,F2 · 10 a 100 bi,0.314344087299264
22119959000183,119,40645809486.520004,GENIAL GESTÃO LTDA.,22119959000183,GENIAL GESTÃO LTDA.,-----,SÃO PAULO,SP,PRIVADO,2015-09-30,https://lp.genialinvestimentos.com.br/pluralgenial,GENIAL GESTÃO LTDA.,F2 · 10 a 100 bi,0.30637016805831063
15289957000177,335,38814309200.98,XP ADVISORY GESTAO DE RECURSOS LTDA,15289957000177,XP ADVISORY GESTAO DE RECURSOS LTDA,--,SÃO PAULO,SP,PRIVADO HOLDING,2012-06-01,www.xpadvisory.com.br,XP ADVISORY GESTAO DE RECURSOS LTDA,F2 · 10 a 100 bi,0.29256512745588825
33857830000199,13,37810831028.72,OPPORTUNITY HDF ADMINISTRADORA DE RECURSOS LTDA.,33857830000199,OPPORTUNITY HDF ADMINISTRADORA DE RECURSOS LTDA.,OPPORTUNITY HDF ADMINISTRADORA DE RECURSOS LTDA.,RIO DE JANEIRO,RJ,PRIVADO,1992-04-06,opportunity.com.br,OPPORTUNITY HDF ADMINISTRADORA DE RECURSOS LTDA.,F2 · 10 a 100 bi,0.28500135199755705
11180009000148,104,37212581167.79,KAPITALO INVESTIMENTOS LTDA.,11180009000148,KAPITALO INVESTIMENTOS LTDA.,KAPITALO INVESTIMENTOS,SÃO PAULO,SP,PRIVADO,2009-12-17,www.kapitalo.com.br,KAPITALO INVESTIMENTOS,F2 · 10 a 100 bi,0.2804920086544316
29408732000105,98,37136719527.54,XP VIDA E PREVIDÊNCIA S.A.,,,,,,,,,XP VIDA E PREVIDÊNCIA S.A.,F2 · 10 a 100 bi,0.2799201971007638
03384738000198,143,32941244171.27,TIVIO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,03384738000198,TIVIO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,TIVIO CAPITAL,SÃO PAULO,SP,PRIVADO,2000-01-19,www.tivio.com,TIVIO CAPITAL,F2 · 10 a 100 bi,0.2482965560360871
34276448000154,79,31856818082.49,GENOA CAPITAL GESTORA DE RECURSOS LTDA,34276448000154,GENOA CAPITAL GESTORA DE RECURSOS LTDA,-,SÃO PAULO,SP,PRIVADO,2020-01-10,genoacapital.com.br,GENOA CAPITAL GESTORA DE RECURSOS LTDA,F2 · 10 a 100 bi,0.2401226309189965
37918829000188,222,29518251434.75,XP ALLOCATION ASSET MANAGEMENT LTDA,37918829000188,XP ALLOCATION ASSET MANAGEMENT LTDA.,XP ALLOCATION,SÃO PAULO,SP,PRIVADO,2020-11-24,www.xpasset.com.br,XP ALLOCATION,F2 · 10 a 100 bi,0.22249554793221832
72745714000130,74,28647351447.88,SPARTA ADMINISTRADORA DE RECURSOS LTDA,72745714000130,SPARTA ADMINISTRADORA DE RECURSOS LTDA,SPARTA FUNDOS DE INVESTIMENTO,SÃO PAULO,SP,PRIVADO,2004-12-14,www.sparta.com.br,SPARTA FUNDOS DE INVESTIMENTO,F2 · 10 a 100 bi,0.21593108830624308
43826833000119,135,28279530536.85,TURMALINA GESTÃO E ADMINISTRAÇÃO DE RECURSOS S.A.,43826833000119,TURMALINA GESTÃO E ADMINISTRAÇÃO DE RECURSOS S.A.,-----,SÃO PAULO,SP,PRIVADO,2018-11-05,www.safra.com.br,TURMALINA GESTÃO E ADMINISTRAÇÃO DE RECURSOS S.A.,F2 · 10 a 100 bi,0.21315861666030392
18313996000150,51,28142945307.920002,TMF BRASIL SERVICOS DE ADMINISTRACAO DE FUNDOS LTDA,18313996000150,TMF BRASIL SERVICOS DE ADMINISTRACAO DE FUNDOS LTDA,TMF BRASIL SERVICOS DE ADMINISTRACAO DE FUNDOS LTDA,SÃO PAULO,SP,PRIVADO,2013-08-20,www.funds-tmf-group.com.br,TMF BRASIL SERVICOS DE ADMINISTRACAO DE FUNDOS LTDA,F2 · 10 a 100 bi,0.21212909750272765
31597552000152,2,27067611783.56,BANCO CLÁSSICO S.A.,31597552000152,BANCO CLÁSSICO S.A.,--,RIO DE JANEIRO,RJ,PRIVADO,2006-12-12,www.bancoclassico.com.br,BANCO CLÁSSICO S.A.,F2 · 10 a 100 bi,0.20402370812215279
19749539000176,125,26540362872.77,VERDE ASSET MANAGEMENT S.A.,19749539000176,VERDE ASSET MANAGEMENT S.A.,VERDE ASSET MANAGEMENT S.A.,SÃO PAULO,SP,PRIVADO,2014-06-13,www.verdeasset.com.br,VERDE ASSET MANAGEMENT S.A.,F2 · 10 a 100 bi,0.20004953859648827
31158029000120,8,25452305705.46,LUME INVESTIMENTOS LTDA.,31158029000120,LUME INVESTIMENTOS LTDA.,LUME INVESTIMENTOS,SÃO PAULO,SP,PRIVADO,2021-12-01,www.lumeinvestimentos.com.br,LUME INVESTIMENTOS,F2 · 10 a 100 bi,0.1918482440124459
07397614000106,25,25358117398.98,SICOOB DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,07397614000106,SICOOB DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,SICOOB DTVM,BRASÍLIA,DF,PRIVADO,2005-07-21,www.sicoob.com.br/bancosicoob-dtvm,SICOOB DTVM,F2 · 10 a 100 bi,0.19113829413938518
28674641000140,108,25152326233.37,LEGACY CAPITAL GESTORA DE RECURSOS LTDA.,28674641000140,LEGACY CAPITAL GESTORA DE RECURSOS LTDA.,LEGACY CAPITAL,SÃO PAULO,SP,PRIVADO,2017-12-08,https://www.legacycapital.com.br/,LEGACY CAPITAL,F2 · 10 a 100 bi,0.18958713118336726
12600032000107,86,24614077953.18,JIVE INVESTMENTS GESTÃO DE RECURSOS E CONSULTORIA S.A.,12600032000107,JIVE INVESTMENTS GESTÃO DE RECURSOS E CONSULTORIA S.A.,JIVE,SÃO PAULO,SP,PRIVADO,2022-11-21,www.jivemaua.com.br,JIVE,F2 · 10 a 100 bi,0.18553005326704242
09446129000100,385,24056570149.45,G5 ADMINISTRADORA DE RECURSOS LTDA.,09446129000100,G5 ADMINISTRADORA DE RECURSOS LTDA.,G5 ADMINISTRADORA DE RECURSOS LTDA.,SÃO PAULO,SP,PRIVADO,2008-09-25,www.g5partners.com,G5 ADMINISTRADORA DE RECURSOS LTDA.,F2 · 10 a 100 bi,0.18132780556474914
